Am Bahnhof Grunewald Vorplatz II|Charlottenburg|14055|885,8977
Am Bahnhof Grunewald Vorplatz I|Grunewald|14193|884,8954
Am Bahnhof Jungfernheide|Charlottenburg|10589|4003,13837
Am Bahnhof Rudow (Siedlung)|Rudow|12355|16432,719
Am Bahnhof Spandau|Spandau|13597|-3873,13938
Am Bahnhof Westend|Charlottenburg|14059|2464,12180
Am Bahnhof|Niederschönhausen|13158|
Am Bäkequell|Steglitz|12165|4590,5151
Am Baltenring|Kaulsdorf|12619|23646,13763
Am Baltenring|Kaulsdorf|12621|23646,13763
Am Bärensprung|Heiligensee|13503|-451,22437
Am Beelitzhof|Nikolassee|14129|-4101,2575
Am Berghang|Gatow|14089|-5035,8692
Am Bergpfuhl|Britz|12347|11780,4177
Am Berlin Museum|Kreuzberg|10969|9915,10788
Am Berl|Hohenschönhausen|13051|16771,18810
Am Biberbau|Frohnau|13465|3041,24523
Am Binsengrund|Biesdorf|12683|21373,10301
Am Birkenhügel|Wannsee|14109|-7485,458
Am Birkenknick|Zehlendorf|14167|1327,895
Am Birkenwerder|Kaulsdorf|12621|21621,9313
Am Bogen|Spandau|13589|-6284,15817
Am Borsigturm|Tegel|13507|2586,19374
Am Botanischen Garten|Rosenthal|13158|9456,21937
Am Böttcherberg|Wannsee|14109|-9457,481
Am Brandpfuhl|Britz|12347|11934,4265
Am Breiten Luch|Hohenschönhausen|13051|17686,17462
Am Breiten Luch|Hohenschönhausen|13053|17686,17462
Am Britzer Garten|Britz|12347|11131,3846
Am Brocken|Tegel|13509|
Am Brodersengarten|Biesdorf|12683|21930,10994
Am Bruchland|Altglienicke|12524|19093,2329
Am Brunnen|Tegel|13509|3182,20718
Am Buchenberg|Hermsdorf|13467|2986,22943
Am Buckersberg|Johannisthal|12487|16547,4590
Am Buddeplatz|Tegel|13507|2454,20040
Am Bullerweg|Spandau|13587|
Am Bürgerpark|Niederschönhausen|13156|9446,18152
Am Buschfeld|Buckow|12353|14017,1794
Am Buschkrug (Kolonie)|Britz|12359|14192,4721
Am Carlsgarten|Karlshorst|10318|19119,8209
Am Comeniusplatz|Friedrichshain|10243|13318,11868
Am Containerbahnhof|Lichtenberg|10367|15392,12135
Am Dachsbau|Heiligensee|13503|-1254,22960
Am Damm|Friedrichshagen|12587|26030,6121
Am Danewend|Karow|13125|15360,23183
Am Delfter Ufer (Kolonie)|Britz|12359|14035,5795
Am Dianaplatz|Waidmannslust|13469|4198,22098
Am Doggelhof|Reinickendorf|13403|4609,17769
Am Donnerberg|Kladow|14089|-8003,6628
Am Dorfanger|Wittenau|13437|4799,20445
Am Dorfteich|Heiligensee|13503|1,22436
Am Dorfwald|Kladow|14089|-7554,4927
Am Eichenhain|Frohnau|13465|1006,24710
Am Eichenquast|Buckow|12353|13505,1716
Am Eichgarten|Steglitz|12167|5916,4397
Am Elektrizitätswerk|Karlshorst|10318|
Am Elsenbruch|Lankwitz|12247|5522,3991
Am Erlenbusch|Dahlem|14195|3581,6420
Am Espenpfuhl|Rudow|12355|17505,877
Am Eulenhorst|Konradshöhe|13505|-1519,19311
Am Fährweg|Spandau|13587|
Am Falkenberg|Altglienicke|12524|20365,1691
Am Falkplatz|Prenzlauer Berg|10437|10491,15581
Am Faulen See|Hohenschönhausen|13053|16610,16555
Am Feldberg|Kaulsdorf|12621|22821,11139
Am Fenn (Kolonie)|Wilmersdorf|10713|4378,8446
Am Fenn|Steglitz|12167|6078,4378
Am Festungsgraben|Mitte|10117|9799,12530
Am Feuchten Winkel|Heinersdorf|13089|12143,19484
Am Fichtenberg|Steglitz|12165|4215,5419
Am Finkenherd|Spandau|13589|-6809,15684
Am Fischtal|Zehlendorf|14169|682,4436
Am Fliederbusch|Charlottenburg|14055|1269,9946
Am Flugplatz Gatow|Kladow|14089|-8203,7043
Am Flutgraben|Treptow|12435|13412,9935
Am Forstacker|Spandau|13587|-3444,17150
Am Fort|Spandau|13591|-7802,12461
Am Freibad (Kolonie)|Oberschöneweide|12459|17027,7368
Am Freibad|Lübars|13469|5905,23306
Am Friedhof|Altglienicke|12524|
Am Friedrichshain|Prenzlauer Berg|10407|12153,13840
Am Fuchsbau|Heiligensee|13503|-1254,22463
Am Fuchspaß|Zehlendorf|14169|432,5026
Am Gartenstadtweg|Altglienicke|12524|21412,544
Am Gemeindepark|Lankwitz|12249|7073,2568
Am Generalshof|Köpenick|12555|22067,5493
Am Glinigk|Altglienicke|12524|18601,2381
Am Glockenturm|Charlottenburg|14053|-1284,11733
Am Goldmannpark|Friedrichshagen|12587|25708,5960
Am Graben|Bohnsdorf|12526|
Am Graben|Malchow|13088|14858,18886
Am Großen Fenster|Nikolassee|14129|
Am Großen Rohrpfuhl|Rudow|12355|16684,837
Am Großen Wannsee|Wannsee|14109|-5773,2317
Am Grünen Anger|Johannisthal|12487|17859,5036
Am Grünen Hof|Frohnau|13465|1704,25046
Am Grünen Zipfel|Frohnau|13465|2128,24580
Am Grüngürtel|Wittenau|13437|4700,20310
Am Grützmachergraben|Spandau|13599|
Am Güterbahnhof Halensee|Halensee|10711|
Am Gutshof|Wartenberg|13059|17819,18738
Am Hafen|Lankwitz|12247|
Am Hain|Spandau|13597|-1380,13126
Am Hanffgraben|Rudow|12357|16640,1498
Am Haselbusch|Johannisthal|12487|17245,5044
Am Hauptgraben|Spandau|13595|
Am Havelgarten|Spandau|13599|-1421,16267
Am Hegewinkel|Zehlendorf|14169|458,5115
Am Heideberg|Spandau|13591|-7021,14786
Am Heidebusch|Charlottenburg|13627|3194,14868
Am Heidefriedhof|Mariendorf|12107|9707,3871
Am Heidehof|Zehlendorf|14163|-1549,2598
Am Heidesaum|Wannsee|14109|-7001,1197
