Marquardter Str.|Potsdam||-18647,4367
Mathilde-Schneider-Str.|Potsdam||-7651,-4920
Mauerstr.|Potsdam||-13538,-778
Maulbeerallee|Potsdam||-15634,-552
Max-Born-Str.|Potsdam||-7520,-3839
Max-Eyth-Allee|Potsdam||-16448,2509
Max-Planck-Str.|Potsdam||-12555,-2226
Max-Volmer-Str.|Potsdam||-11591,-1796
Maxie-Wander-Str.|Potsdam||-7684,-4954
Maybachstr.|Potsdam||-15078,-2097
Mehlbeerenweg|Potsdam||-17482,-155
Meisenweg|Potsdam||-9938,-4231
Meistersingerstr.|Potsdam||-14515,-1608
Mendelssohn-Bartholdy-Str.|Potsdam||-7923,-2903
Menzelstr.|Potsdam||-11271,565
Merkurstr.|Potsdam||-8478,-2602
Michendorfer Chaussee|Potsdam||-16375,-7267
Milanhorst|Potsdam||-10464,-3319
Mildred-Harnack-Str.|Potsdam||-7462,-5227
Mitschurinstr.|Potsdam||-18482,1892
Mitteldamm|Potsdam||-9640,-3025
Mittelstr.|Potsdam||-12865,-776
Möbelhof|Potsdam||-9230,-5150
Moosglöckchenweg|Potsdam||-10587,-5644
Mövenstr.|Potsdam||-10364,383
Mozartstr.|Potsdam||-8189,-2852
Mühlenbergweg|Potsdam||-13818,-695
Mühlenstr.|Potsdam||-11094,-1420
Mühlenweg|Potsdam||-11907,31
Müllerstr.|Potsdam||-10191,-1402
Munthestr.|Potsdam||-7553,-5040
Nansenstr.|Potsdam||-14422,-1518
Nattwerder|Potsdam||-20957,1588
Nattwerder Weg|Potsdam||-20957,1588
Nauener Tor|Potsdam||-13010,-646
Nauener Vorstadt|Potsdam||-12709,1226
Nedlitz|Potsdam||-14150,2832
Nedlitzer Str.|Potsdam||-13457,2801
Nelly-Sachs-Str.|Potsdam||-7804,-5089
Neptun|Potsdam||-19488,4250
Neptungrotte|Potsdam||-13965,-820
Neue Dorfstr.|Potsdam||-20171,2103
Neue Kammern|Potsdam||-14447,-818
Neue Str.|Potsdam||-11079,-1542
Neuendorfer Anger|Potsdam||-10930,-2272
Neuendorfer Str.|Potsdam||-8125,-4573
Neuer Garten|Potsdam||-12228,880
Neues Palais|Potsdam||-15841,-1578
Newtonstr.|Potsdam||-7880,-3835
Niels-Bohr-Ring|Potsdam||-7543,-3651
Nuthedamm|Potsdam||-8815,-5165
Nuthestr.|Potsdam||-10404,-2840
Nuthewinkel|Potsdam||-11225,-2878
Ökonomieweg|Potsdam||-15304,-1212
Orangerie|Potsdam||-14751,-524
Oskar-Meßter-Str.|Potsdam||-7704,-4565
Otterkiez|Potsdam||-9809,-3873
Otterweg|Potsdam||-9598,-3091
Otto-Erich-Str.|Potsdam||-8940,-1444
Otto-Hahn-Ring|Potsdam||-7366,-3703
Otto-Haseloff-Str.|Potsdam||-7178,-3533
Otto-Nagel-Str.|Potsdam||-12049,-405
Paetowstr.|Potsdam||-13299,-3185
Pappelallee|Potsdam||-14651,344
Pappelhof|Potsdam||-10170,-3780
Parallelweg|Potsdam||-8627,-3072
Park Babelsberg|Potsdam||-10624,-310
Park Charlottenhof|Potsdam||-15231,-1478
Park Sanssouci|Potsdam||-15275,-1312
Parkbrücke|Potsdam||-10155,54
Parkstr.|Potsdam||-13930,-508
Pasteurstr.|Potsdam||-10344,-1205
Patrizierweg|Potsdam||-8161,-2863
Paul-Neumann-Str.|Potsdam||-9648,-2180
Paul-Wegener-Str.|Potsdam||-7041,-4408
Persiusstr.|Potsdam||-12739,592
Pestalozzistr.|Potsdam||-9789,-2239
Peter-Kühne-Siedlung|Potsdam||-15851,-2190
Petri Dank|Potsdam||-19569,4227
Petri Heil|Potsdam||-19569,4260
Pierre de Gayette-Str.|Potsdam||-7464,-5516
Pietschkerstr.|Potsdam||-8178,-3508
Plantagenplatz|Potsdam||-9978,-1531
Plantagenstr.|Potsdam||-10000,-1443
Platz der Einheit|Potsdam||-12857,-1243
Poseidon|Potsdam||-19583,4293
Posthofstr.|Potsdam||-12560,-1148
Potsdam-West|Potsdam||-15673,-2253
Potsdamer Str.|Potsdam||-16800,1258
Prager Str.|Potsdam||-9554,-2901
Priesterweg|Potsdam||-7830,-4779
Puschkinallee|Potsdam||-12965,699
Ratsweg|Potsdam||-7974,-2681
Ravensbergweg|Potsdam||-11184,-4077
Rehgarten|Potsdam||-15176,-1099
Reiherweg|Potsdam||-14621,168
Reiterweg|Potsdam||-13059,-191
Rembrandtstr.|Potsdam||-11372,519
Reuterstr.|Potsdam||-9524,-1456
Ribbeckstr.|Potsdam||-14836,-325
Ricarda-Huch-Str.|Potsdam||-7869,-4857
Robert-Baberske-Str.|Potsdam||-7659,-4442
Robert-Koch-Str.|Potsdam||-9176,-1149
Röhrenstr.|Potsdam||-7872,-3124
Römische Bäder|Potsdam||-14831,-1426
Rosa-Luxemburg-Str.|Potsdam||-9689,-559
Roseggerstr.|Potsdam||-15040,-2330
Rosenstr.|Potsdam||-9630,-2013
Rosenweg|Potsdam||-19604,4293
Rosenweg|Potsdam||-9562,-3990
Roßkastanienstr.|Potsdam||-17605,-135
Rotdornweg|Potsdam||-9590,-1946
Rote-Kreuz-Str.|Potsdam||-8313,-1977
Rubensstr.|Potsdam||-11869,188
Rückertstr.|Potsdam||-16928,1578
Rudolf-Breitscheid-Str.|Potsdam||-11123,-1720
Ruinenbergstr.|Potsdam||-13957,-86
Russische Kolonie|Potsdam||-13008,431
Saarmunder Str.|Potsdam||-10655,-4423
Sacrow|Potsdam||-9946,2536
Sanssouci|Potsdam||-15254,-1312
Sauerbruchstr.|Potsdam||-9438,-910
Schadowstr.|Potsdam||-7725,-5355
Schäferweg|Potsdam||-8322,-3822
Scheffelstr.|Potsdam||-10074,-1089
Schiffbauergasse|Potsdam||-11903,-624
Schilfhof|Potsdam||-10543,-3454
Schillerplatz|Potsdam||-14324,-2060
Schillerstr.|Potsdam||-14288,-2193
Schinkelstr.|Potsdam||-7670,-5376
Schlaatz|Potsdam||-11382,-2492
